"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 23 11:08:39 GMT 2023","Sun Apr 23 11:08:44 GMT 2023","5388","vizsgaremek_teszt","conduit_test","TestConduit","","","ADATOK LISTÁZÁSA",""
"passed","Sun Apr 23 11:08:33 GMT 2023","Sun Apr 23 11:08:38 GMT 2023","5290","vizsgaremek_teszt","conduit_test","TestConduit","","","BEJELENTKEZÉS",""
"passed","Sun Apr 23 11:08:27 GMT 2023","Sun Apr 23 11:08:27 GMT 2023","293","vizsgaremek_teszt","conduit_test","TestConduit","","","ADATKEZELÉSI NYILATKOZAT HASZNÁLATA",""
"passed","Sun Apr 23 11:08:29 GMT 2023","Sun Apr 23 11:08:31 GMT 2023","2864","vizsgaremek_teszt","conduit_test","TestConduit","","","REGISZTRÁCIÓ",""
"broken","Sun Apr 23 11:09:00 GMT 2023","Sun Apr 23 11:09:06 GMT 2023","5616","vizsgaremek_teszt","conduit_test","TestConduit","","","ISMÉTELT ÉS SOROZATOS ADATBEVITEL ADATFORRÁSBÓL",""
"passed","Sun Apr 23 11:09:18 GMT 2023","Sun Apr 23 11:09:23 GMT 2023","5438","vizsgaremek_teszt","conduit_test","TestConduit","","","ADATOK LEMENTÉSE FELÜLETRŐL",""
"passed","Sun Apr 23 11:08:46 GMT 2023","Sun Apr 23 11:08:51 GMT 2023","5521","vizsgaremek_teszt","conduit_test","TestConduit","","","TÖBB OLDALAS LISTA BEJÁRÁSA",""
"passed","Sun Apr 23 11:08:52 GMT 2023","Sun Apr 23 11:08:59 GMT 2023","7126","vizsgaremek_teszt","conduit_test","TestConduit","","","ÚJ ADAT BEVITEL",""
"passed","Sun Apr 23 11:09:31 GMT 2023","Sun Apr 23 11:09:38 GMT 2023","6855","vizsgaremek_teszt","conduit_test","TestConduit","","","MEGLÉVŐ ADAT MÓDOSÍTÁS",""
"passed","Sun Apr 23 11:09:24 GMT 2023","Sun Apr 23 11:09:30 GMT 2023","5329","vizsgaremek_teszt","conduit_test","TestConduit","","","KIJELENTKEZÉS",""
"broken","Sun Apr 23 11:09:07 GMT 2023","Sun Apr 23 11:09:17 GMT 2023","9231","vizsgaremek_teszt","conduit_test","TestConduit","","","ADAT VAGY ADATOK TÖRLÉSE",""
