"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Apr 23 10:50:11 GMT 2023","Sun Apr 23 10:50:20 GMT 2023","9599","vizsgaremek_teszt","conduit_test","TestConduit","","","ADAT VAGY ADATOK TÖRLÉSE",""
"broken","Sun Apr 23 10:50:04 GMT 2023","Sun Apr 23 10:50:10 GMT 2023","5583","vizsgaremek_teszt","conduit_test","TestConduit","","","ISMÉTELT ÉS SOROZATOS ADATBEVITEL ADATFORRÁSBÓL",""
"passed","Sun Apr 23 10:50:21 GMT 2023","Sun Apr 23 10:50:27 GMT 2023","5411","vizsgaremek_teszt","conduit_test","TestConduit","","","ADATOK LEMENTÉSE FELÜLETRŐL",""
"passed","Sun Apr 23 10:49:32 GMT 2023","Sun Apr 23 10:49:32 GMT 2023","247","vizsgaremek_teszt","conduit_test","TestConduit","","","ADATKEZELÉSI NYILATKOZAT HASZNÁLATA",""
"passed","Sun Apr 23 10:49:49 GMT 2023","Sun Apr 23 10:49:55 GMT 2023","5437","vizsgaremek_teszt","conduit_test","TestConduit","","","TÖBB OLDALAS LISTA BEJÁRÁSA",""
"passed","Sun Apr 23 10:49:33 GMT 2023","Sun Apr 23 10:49:35 GMT 2023","2528","vizsgaremek_teszt","conduit_test","TestConduit","","","REGISZTRÁCIÓ",""
"passed","Sun Apr 23 10:50:28 GMT 2023","Sun Apr 23 10:50:33 GMT 2023","5310","vizsgaremek_teszt","conduit_test","TestConduit","","","KIJELENTKEZÉS",""
"passed","Sun Apr 23 10:49:56 GMT 2023","Sun Apr 23 10:50:03 GMT 2023","7041","vizsgaremek_teszt","conduit_test","TestConduit","","","ÚJ ADAT BEVITEL",""
"passed","Sun Apr 23 10:49:37 GMT 2023","Sun Apr 23 10:49:42 GMT 2023","5278","vizsgaremek_teszt","conduit_test","TestConduit","","","BEJELENTKEZÉS",""
"passed","Sun Apr 23 10:50:34 GMT 2023","Sun Apr 23 10:50:42 GMT 2023","7286","vizsgaremek_teszt","conduit_test","TestConduit","","","MEGLÉVŐ ADAT MÓDOSÍTÁS",""
"passed","Sun Apr 23 10:49:43 GMT 2023","Sun Apr 23 10:49:48 GMT 2023","5372","vizsgaremek_teszt","conduit_test","TestConduit","","","ADATOK LISTÁZÁSA",""
