"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 23 11:24:05 GMT 2023","Sun Apr 23 11:24:12 GMT 2023","7312","vizsgaremek_teszt","conduit_test","TestConduit","","","MEGLÉVŐ ADAT MÓDOSÍTÁS",""
"passed","Sun Apr 23 11:23:37 GMT 2023","Sun Apr 23 11:23:44 GMT 2023","7149","vizsgaremek_teszt","conduit_test","TestConduit","","","ÚJ ADAT BEVITEL",""
"passed","Sun Apr 23 11:23:17 GMT 2023","Sun Apr 23 11:23:22 GMT 2023","5266","vizsgaremek_teszt","conduit_test","TestConduit","","","BEJELENTKEZÉS",""
"passed","Sun Apr 23 11:23:58 GMT 2023","Sun Apr 23 11:24:03 GMT 2023","5305","vizsgaremek_teszt","conduit_test","TestConduit","","","KIJELENTKEZÉS",""
"passed","Sun Apr 23 11:23:30 GMT 2023","Sun Apr 23 11:23:35 GMT 2023","5437","vizsgaremek_teszt","conduit_test","TestConduit","","","TÖBB OLDALAS LISTA BEJÁRÁSA",""
"passed","Sun Apr 23 11:23:24 GMT 2023","Sun Apr 23 11:23:29 GMT 2023","5369","vizsgaremek_teszt","conduit_test","TestConduit","","","ADATOK LISTÁZÁSA",""
"broken","Sun Apr 23 11:23:45 GMT 2023","Sun Apr 23 11:23:50 GMT 2023","5595","vizsgaremek_teszt","conduit_test","TestConduit","","","ISMÉTELT ÉS SOROZATOS ADATBEVITEL ADATFORRÁSBÓL",""
"passed","Sun Apr 23 11:23:13 GMT 2023","Sun Apr 23 11:23:16 GMT 2023","2671","vizsgaremek_teszt","conduit_test","TestConduit","","","REGISZTRÁCIÓ",""
"passed","Sun Apr 23 11:23:12 GMT 2023","Sun Apr 23 11:23:12 GMT 2023","198","vizsgaremek_teszt","conduit_test","TestConduit","","","ADATKEZELÉSI NYILATKOZAT HASZNÁLATA",""
"passed","Sun Apr 23 11:23:52 GMT 2023","Sun Apr 23 11:23:57 GMT 2023","5414","vizsgaremek_teszt","conduit_test","TestConduit","","","ADATOK LEMENTÉSE FELÜLETRŐL",""
